,tags,body
294,javascript,"I've read this answer, reducing boilerplate, looked at few GitHub examples and even tried redux a little bit (todo apps). 

As I understand, official redux doc motivations provide pros comparing to traditional MVC architectures. BUT it doesn't provide an answer to the question: 

Why you should use Redux over Facebook Flux? 

Is that only a question of programming styles: functional vs non-functional? Or the question is in abilities/dev-tools that follow from redux approach? Maybe scaling? Or testing?

Am I right if I say that redux is a flux for people who come from functional languages? 

To answer this question you may compare the complexity of implementation redux's motivation points on flux vs redux.

Here are motivation points from official redux doc motivations:


Handling optimistic updates (as I understand, it hardly depends on 5th point. Is it hard to implement it in facebook flux?)
Rendering on the server (facebook flux also can do this. Any benefits comparing to redux?)
Fetching data before performing route transitions (Why it can't be achieved in facebook flux? What's the benefits?)
Hot reload (It's possible with React Hot Reload. Why do we need redux?)
Undo/Redo functionality
Any other points? Like persisting state...

"
295,javascript,"Let's say I have a file called app.js. Pretty simple:

var express = require('express');
var app = express.createServer();
app.set('views', __dirname + '/views');
app.set('view engine', 'ejs');
app.get('/', function(req, res){
  res.render('index', {locals: {
    title: 'NowJS + Express Example'
  }});
});

app.listen(8080);


What if I have a functions inside ""tools.js"".  How would I import them to use in apps.js?

Or...am I supposed to turn ""tools"" into a module, and then require it? &lt;&lt; seems hard, I rather do the basic import of the tools.js file.
"
296,php,"I have tried reading some articles, but I am not very clear on the concepts yet.

Would someone like to take a shot at explaining to me what these technologies are:


Long Polling
Server-Sent Events
Websockets
Comet


One thing that I came across every time was, the server keeps a connection open and pushes data to the client. How is the connection kept open, and how does the client get the pushed data? (How does the client use the data, maybe some code might help?)

Now, which one of them should I use for a real-time app. I have been hearing a lot about websockets (with socket.io [a node.js library]) but why not PHP?
"
297,python,"&gt;&gt;&gt; a=[1,2,3]
&gt;&gt;&gt; a.remove(2)
&gt;&gt;&gt; a
[1, 3]
&gt;&gt;&gt; a=[1,2,3]
&gt;&gt;&gt; del a[1]
&gt;&gt;&gt; a
[1, 3]
&gt;&gt;&gt; a= [1,2,3]
&gt;&gt;&gt; a.pop(1)
2
&gt;&gt;&gt; a
[1, 3]
&gt;&gt;&gt; 


Is there any difference between the above three methods to remove an element from a list?
"
298,validation,"What is the maximum length of a valid email address? Is it defined by any standard?
"
299,javascript,"Is there an efficient way to tell if a DOM element (in an HTML document) is currently visible (appears in the viewport)?

(The question refers to Firefox.)
"
300,javascript,"How could I achieve the following:
document.all.regTitle.innerHTML = 'Hello World';

Using jQuery where regTitle is my div id?
"
301,c#,"
How do I return a base64 encoded string given a string?
How do I decode a base64 encoded string into a string?

"
302,string,"I have a shell script with this code:

var=`hg st -R ""$path""`
if [ -n ""$var"" ]; then
    echo $var
fi


But the conditional code always executes, because hg st always prints at least one newline character.


Is there a simple way to strip whitespace from $var (like trim() in PHP)?


or


Is there a standard way of dealing with this issue?


I could use sed or AWK, but I'd like to think there is a more elegant solution to this problem.
"
303,git,"Somehow my master and my origin/master branch have diverged.
I actually don't want them to diverge.
How can I view these differences and merge them?
"
304,bash,"This command lists directories in the current path: ls -d */

What exactly does the pattern */ do?

And how can we give the absolute path in the above command (e.g. ls -d /home/alice/Documents) for listing only directories in that path?
"
305,c++,"I've come across this term POD-type a few times.
What does it mean? 
"
306,python,"I'm just getting into Python and I really like the terseness of the syntax. However, is there an easier way of writing an if-then-else statement so it fits on one line?

For example:

if count == N:
    count = 0
else:
    count = N + 1


Is there a simpler way of writing this? I mean, in Objective-C I would write this as:

count = count == N ? 0 : count + 1;


Is there something similar for Python?

Update

I know that in this instance I can use count == (count + 1) % N. 

I'm asking about the general syntax.
"
307,bash,"
  How can I reload .bash_profile from the command line?   


I can get the shell to recognize changes to .bash_profile by exiting and logging back in but I would like to be able to do it on demand.
"
308,c#,"I have a public async void Foo() method that I want to call from synchronous method. So far all I have seen from MSDN documentation is calling async methods via async methods, but my whole program is not built with async methods.
Is this even possible?
Here's one example of calling these methods from an asynchronous method:
Walkthrough: Accessing the Web by Using Async and Await (C# and Visual Basic)
Now I'm looking into calling these async methods from sync methods.
"
309,html,"I have a simple page that has some iframe sections (to display RSS links). How can I apply the same CSS format from the main page to the page displayed in the iframe?
"
310,html,"How can I create an HTML checkbox with a label that is clickable (this means that clicking on the label turns the checkbox on/off)?
"
311,c++,"I have the following code.

#include &lt;iostream&gt;

int * foo()
{
    int a = 5;
    return &amp;a;
}

int main()
{
    int* p = foo();
    std::cout &lt;&lt; *p;
    *p = 8;
    std::cout &lt;&lt; *p;
}


And the code is just running with no runtime exceptions!

The output was 58

How can it be? Isn't the memory of a local variable inaccessible outside its function?
"
312,android,"What does the following exception mean; how can I fix it?

This is the code:

Toast toast = Toast.makeText(mContext, ""Something"", Toast.LENGTH_SHORT);


This is the exception:

java.lang.RuntimeException: Can't create handler inside thread that has not called Looper.prepare()
     at android.os.Handler.&lt;init&gt;(Handler.java:121)
     at android.widget.Toast.&lt;init&gt;(Toast.java:68)
     at android.widget.Toast.makeText(Toast.java:231)

"
313,python,"I would like to get a list of Python modules, which are in my Python installation (UNIX server).

How can you get a list of Python modules installed in your computer?
"
314,python,"What's the simplest way to count the number of occurrences of a character in a string?
e.g. count the number of times that 'a' appears in 'Mary had a little lamb'.
"
315,c#,"I have classes like these:
class MyDate
{
    int year, month, day;
}

class Lad
{
    string firstName;
    string lastName;
    MyDate dateOfBirth;
}

And I would like to turn a Lad object into a JSON string like this:
{
    &quot;firstName&quot;:&quot;Markoff&quot;,
    &quot;lastName&quot;:&quot;Chaney&quot;,
    &quot;dateOfBirth&quot;:
    {
        &quot;year&quot;:&quot;1901&quot;,
        &quot;month&quot;:&quot;4&quot;,
        &quot;day&quot;:&quot;30&quot;
    }
}

(Without the formatting). I found this link, but it uses a namespace that's not in .NET 4. I also heard about JSON.NET, but their site seems to be down at the moment, and I'm not keen on using external DLL files.
Are there other options besides manually creating a JSON string writer?
"
316,angularjs,"I don't understand how to use $scope.$watch and $scope.$apply. The official documentation isn't helpful.

What I don't understand specifically:


Are they connected to the DOM?
How can I update DOM changes to the model?
What is the connection point between them?


I tried this tutorial, but it takes the understanding of $watch and $apply for granted.

What do $apply and $watch do, and how do I use them appropriately?
"
317,android,"I just downloaded and installed the new Android SDK. I wanted to create a simple application to test drive it.

The wizard created this code:

package eu.mauriziopz.gps;

import android.app.Activity;
import android.os.Bundle;

public class ggps extends Activity {
    /** Called when the activity is first created. */
    @Override
    public void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.main);
    }
}


but Eclipse gives me the error


  R cannot be resolved


on line

setContentView(R.layout.main);


Why?

PS: I do have an XML file named main.xml under res/layout/.
"
318,jquery,"I have a select field with some options in it. Now I need to select one of those options with jQuery. But how can I do that when I only know the value of the option that must be selected?

I have the following HTML:

&lt;div class=""id_100""&gt;
  &lt;select&gt;
    &lt;option value=""val1""&gt;Val 1&lt;/option&gt;
    &lt;option value=""val2""&gt;Val 2&lt;/option&gt;
    &lt;option value=""val3""&gt;Val 3&lt;/option&gt;
  &lt;/select&gt;
&lt;/div&gt;


I need to select the option with value val2. How can this be done?

Here's a demo page:
http://jsfiddle.net/9Stxb/
"
319,c#,"Is there some rare language construct I haven't encountered (like the few I've learned recently, some on Stack Overflow) in C# to get a value representing the current iteration of a foreach loop?

For instance, I currently do something like this depending on the circumstances:

int i = 0;
foreach (Object o in collection)
{
    // ...
    i++;
}

"
320,git,"I'm trying to learn Git with the help of Git Immersion.
There's one thing that frustrates me whenever I use git log or git diff:



I can't figure out what to do next when I encounter this (END) word.

I can't type any commands, and I end up closing the current Bash window and open another. How do I type in the next command that I want to use?
"
321,svn,"SVN's log has a &quot;-v&quot; mode that outputs filenames of files changed in each commit, like so:
jes5199$ svn log -v
------------------------------------------------------------------------
r1 |   jes5199 | 2007-01-03 14:39:41 -0800 (Wed, 03 Jan 2007) | 1 line
Changed paths:
   A /AUTHORS
   A /COPYING
   A /ChangeLog
   A /EVOLUTION
   A /INSTALL
   A /MacOSX

Is there a quick way to get a list of changed files in each commit in Git?
"
322,python,"I am having trouble installing psycopg2. I get the following error when I try to pip install psycopg2:

Error: pg_config executable not found.

Please add the directory containing pg_config to the PATH

or specify the full executable path with the option:



    python setup.py build_ext --pg-config /path/to/pg_config build ...



or with the pg_config option in 'setup.cfg'.

----------------------------------------
Command python setup.py egg_info failed with error code 1 in /tmp/pip-build/psycopg2


But the problem is pg_config is actually in my PATH; it runs without any problem:

$ which pg_config
/usr/pgsql-9.1/bin/pg_config


I tried adding the pg_config path to the setup.cfg file and building it using the source files I downloaded from their website (http://initd.org/psycopg/) and I get the following error message!

Error: Unable to find 'pg_config' file in '/usr/pgsql-9.1/bin/'


But it is actually THERE!!!

I am baffled by these errors. Can anyone help please?

By the way, I sudo all the commands. Also I am on RHEL 5.5.
"
323,docker,"When using Docker, we start with a base image. We boot it up, create changes and those changes are saved in layers forming another image.

So eventually I have an image for my PostgreSQL instance and an image for my web application, changes to which keep on being persisted.

What is a container?
"
324,visual-studio-code,"How do I customize the tab-to-space conversion factor when using Visual Studio Code?

For instance, right now in HTML it appears to produce two spaces per press of TAB, but in TypeScript it produces 4.
"
325,jquery,"I have an input type=""image"". This acts like the cell notes in Microsoft Excel. If someone enters a number into the text box that this input-image is paired with, I setup an event handler for the input-image. Then when the user clicks the image, they get a little popup to add some notes to the data.

My problem is that when a user enters a zero into the text box, I need to disable the input-image's event handler. I have tried the following, but to no avail.

$('#myimage').click(function { return false; });

"
326,c#,"I am trying to run  Asp.net MVC project retrieved from TFS source control. I have added all assembly references and I am able to build and compile successfully without any error or warning.

But I get the following error in the browser:


  Could not find a part of the path
  'C:\B8akWorkspace\B8akProject\B8akSolution\B8AK.Portal\bin\roslyn\csc.exe'.


Here is a full screenshot of the error page.



After few days of research, I understood that Roslyn is .Net compiler platform that offers advance compiling features. However, I do not understand why my build is trying to find \bin\roslyn\csc.exe because I did not configure anything related to Roslyn nor I intend to use Roslyn in my project.
"
327,python,"I have many rows in a database that contains XML and I'm trying to write a Python script to count instances of a particular node attribute.
My tree looks like:
&lt;foo&gt;
   &lt;bar&gt;
      &lt;type foobar=&quot;1&quot;/&gt;
      &lt;type foobar=&quot;2&quot;/&gt;
   &lt;/bar&gt;
&lt;/foo&gt;

How can I access the attributes &quot;1&quot; and &quot;2&quot; in the XML using Python?
"
328,javascript,"I'm planning to use AngularJS in my big applications. So I'm in the process to find out the right modules to use.

What is the difference between ngRoute (angular-route.js) and ui-router (angular-ui-router.js) modules?

In many articles when ngRoute is used, route is configured with $routeProvider. However, when used with ui-router, route is configured with $stateProvider and $urlRouterProvider. 


  Which module should I use for better manageability and extensibility?

"
329,java,"Is there a way to include all the jar files within a directory in the classpath?

I'm trying java -classpath lib/*.jar:. my.package.Program and it is not able to find class files that are certainly in those jars.  Do I need to add each jar file to the classpath separately? 
"
330,string,"How do I compare a variable to a string (and do something if they match)?
"
331,java,"I am trying to write a simple application that gets updated. For this I need a simple function that can download a file and show the current progress in a ProgressDialog. I know how to do the ProgressDialog, but I'm not sure how to display the current progress and how to download the file in the first place.
"
332,r,"Whenever I want to do something ""map""py in R, I usually try to use a function in the apply family. 

However, I've never quite understood the differences between them -- how {sapply, lapply, etc.} apply the function to the input/grouped input, what the output will look like, or even what the input can be -- so I often just go through them all until I get what I want.

Can someone explain how to use which one when?

My current (probably incorrect/incomplete) understanding is...


sapply(vec, f): input is a vector. output is a vector/matrix, where element i is f(vec[i]), giving you a matrix if f has a multi-element output
lapply(vec, f): same as sapply, but output is a list?
apply(matrix, 1/2, f): input is a matrix. output is a vector, where element i is f(row/col i of the matrix)
tapply(vector, grouping, f): output is a matrix/array, where an element in the matrix/array is the value of f at a grouping g of the vector, and g gets pushed to the row/col names
by(dataframe, grouping, f): let g be a grouping. apply f to each column of the group/dataframe. pretty print the grouping and the value of f at each column.
aggregate(matrix, grouping, f): similar to by, but instead of pretty printing the output, aggregate sticks everything into a dataframe.


Side question: I still haven't learned plyr or reshape -- would plyr or reshape replace all of these entirely?
"
333,javascript,"How would I go about removing all of the child elements of a DOM node in JavaScript?

Say I have the following (ugly) HTML:

&lt;p id=""foo""&gt;
    &lt;span&gt;hello&lt;/span&gt;
    &lt;div&gt;world&lt;/div&gt;
&lt;/p&gt;


And I grab the node I want like so:

var myNode = document.getElementById(""foo"");


How could I remove the children of foo so that just &lt;p id=""foo""&gt;&lt;/p&gt; is left?

Could I just do:

myNode.childNodes = new Array();


or should I be using some combination of removeElement?

I'd like the answer to be straight up DOM; though extra points if you also provide an answer in jQuery along with the DOM-only answer.
"
334,github,"Is there a way to create a URL anchor, &lt;a&gt;, link from within a Markdown file, to another file within the same repository and branch (aka a link relative to the current branch)?

For example, in the master branch I have a README.md file, which I would like do something like:

# My Project
is really really cool. My Project has a subdir named myLib, see below.

## myLib documentation
see documentation [here](myLib/README.md)


This would allow me to link from one .md to another within the same branch and not have to worry about which branch I'm in (avoid having to do an absolute URL that includes the github.com branch name).

Here is a working example of what I mean:


GOTO http://github.com/rynop/testRel, link does not work.
GOTO http://github.com/rynop/testRel/blob/master/README.md, link works.


This is expected because at this point the starting URL is in the branch. Now how do I get it to pick up the current branch in the README.md at the root of the repository?

Update: I opened an issue against GitHub for this feature request.
"
335,objective-c,"I don't think I fundamentally understand what an enum is, and when to use it.  

For example:

typedef enum {
    kCircle,
    kRectangle,
    kOblateSpheroid
} ShapeType;


What is really being declared here?
"
336,linux,"What is export for?

What is the difference between:

export name=value


and

name=value

"
337,javascript,"Suppose I have any variable, which is defined as follows:

var a = function() {/* Statements */};


I want a function which checks if the type of the variable is function-like. i.e. :

function foo(v) {if (v is function type?) {/* do something */}};
foo(a);


How can I check if the variable a is of type Function in the way defined above?
"
338,javascript,"How can I convert a character to its ASCII code using JavaScript?
For example:

get 10 from &quot;\n&quot;.

"
339,oop,"Since I started learning F# and OCaml last year, I've read a huge number of articles which insist that design patterns (especially in Java) are workarounds for the missing features in imperative languages. One article I found makes a fairly strong claim:


  Most people I've met have read 
  the Design Patterns book by the Gang of
  Four (GoF). Any self respecting programmer
  will tell you that the book is
  language agnostic and the patterns
  apply to software engineering in
  general, regardless of which language
  you use. This is a noble claim.
  Unfortunately it is far removed from
  the truth.
  
  Functional languages are extremely
  expressive. In a functional language
  one does not need design patterns
  because the language is likely so high
  level, you end up programming in
  concepts that eliminate design
  patterns all together.


The main features of functional programming (FP) include functions as first-class values, currying, immutable values, etc. It doesn't seem obvious to me that OO design patterns are approximating any of those features.

Additionally, in functional languages which support OOP (such as F# and OCaml), it seems obvious to me that programmers using these languages would use the same design patterns found available to every other OOP language. In fact, right now I use F# and OCaml every day, and there are no striking differences between the patterns I use in these languages vs. the patterns I use when I write in Java.

Is there any truth to the claim that functional programming eliminates the need for OOP design patterns? If so, could you post or link to an example of a typical OOP design pattern and its functional equivalent?
"
340,git,"I know that Git tracks changes I make to my application, and it holds on to them until I commit the changes, but here's where I'm hung up:

When I want to revert to a previous commit I use: 

git reset --hard HEAD

And Git returns:

HEAD is now at 820f417 micro


How do I then revert the files on my hard drive back to that previous commit?

My next steps were:

git add .
git commit -m ""revert""


But none of the files have changed on my hard drive...

What am I doing right/wrong?
"
341,python,"What's the difference?

What are the advantages / disadvantages of tuples / lists?
"
342,python,"I have this DataFrame and want only the records whose EPS column is not NaN:

&gt;&gt;&gt; df
                 STK_ID  EPS  cash
STK_ID RPT_Date                   
601166 20111231  601166  NaN   NaN
600036 20111231  600036  NaN    12
600016 20111231  600016  4.3   NaN
601009 20111231  601009  NaN   NaN
601939 20111231  601939  2.5   NaN
000001 20111231  000001  NaN   NaN


...i.e. something like df.drop(....) to get this resulting dataframe:

                  STK_ID  EPS  cash
STK_ID RPT_Date                   
600016 20111231  600016  4.3   NaN
601939 20111231  601939  2.5   NaN


How do I do that?
"
343,regex,"Is it possible to detect a valid regular expression with another regular expression?  If so please give example code below.
"
344,jquery,"I've got the following scenario:

var el = 'li';


and there are 5 &lt;li&gt;'s on the page each with a data-slide=number attribute (number being 1,2,3,4,5 respectively).

I now need to find the currently active slide number which is mapped to var current = $('ul').data(current); and is updated on each slide change.

So far my tries have been unsuccessful, trying to construct the selector that would match the current slide:

$('ul').find(el+[data-slide=+current+]);


does not match/return anything…

The reason I can't hardcode the li part is that this is a user accessible variable that can be changed to a different element if required, so it may not always be an li.

Any ideas on what I'm missing?
"
345,css,"To set the minimal distance between flexbox items I'm using margin: 0 5px on .item and margin: 0 -5px on container. For me it seems like a hack, but I can't find any better way to do this.

Example 



#box {
  display: flex;
  width: 100px;
  margin: 0 -5px;
}
.item {
  background: gray;
  width: 50px;
  height: 50px;
  margin: 0 5px;
}
&lt;div id='box'&gt;
  &lt;div class='item'&gt;&lt;/div&gt;
  &lt;div class='item'&gt;&lt;/div&gt;
  &lt;div class='item'&gt;&lt;/div&gt;
  &lt;div class='item'&gt;&lt;/div&gt;
&lt;/div&gt;



"
346,ruby-on-rails,"How can I get the current absolute URL in my Ruby on Rails view?

The request.request_uri only returns the relative URL.
"
347,python,"I'm pretty much new in Python object oriented programming and I have trouble
understanding the super() function (new style classes) especially when it comes to multiple inheritance.
For example if you have something like:
class First(object):
    def __init__(self):
        print &quot;first&quot;

class Second(object):
    def __init__(self):
        print &quot;second&quot;

class Third(First, Second):
    def __init__(self):
        super(Third, self).__init__()
        print &quot;that's it&quot;

What I don't get is: will the Third() class inherit both constructor methods? If yes, then which one will be run with super() and why?
And what if you want to run the other one? I know it has something to do with Python method resolution order (MRO).
"
348,android,"I've built a simple music player in Android. The view for each song contains a SeekBar, implemented like this: 

public class Song extends Activity implements OnClickListener,Runnable {
    private SeekBar progress;
    private MediaPlayer mp;

    // ...

    private ServiceConnection onService = new ServiceConnection() {
          public void onServiceConnected(ComponentName className,
            IBinder rawBinder) {
              appService = ((MPService.LocalBinder)rawBinder).getService(); // service that handles the MediaPlayer
              progress.setVisibility(SeekBar.VISIBLE);
              progress.setProgress(0);
              mp = appService.getMP();
              appService.playSong(title);
              progress.setMax(mp.getDuration());
              new Thread(Song.this).start();
          }
          public void onServiceDisconnected(ComponentName classname) {
              appService = null;
          }
    };

    public void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.song);

        // ...

        progress = (SeekBar) findViewById(R.id.progress);

        // ...
    }

    public void run() {
    int pos = 0;
    int total = mp.getDuration();
    while (mp != null &amp;&amp; pos&lt;total) {
        try {
            Thread.sleep(1000);
            pos = appService.getSongPosition();
        } catch (InterruptedException e) {
            return;
        } catch (Exception e) {
            return;
        }
        progress.setProgress(pos);
    }
}


This works fine. Now I want a timer counting the seconds/minutes of the progress of the song. So I put a TextView in the layout, get it with findViewById() in onCreate(), and put this in run() after progress.setProgress(pos):

String time = String.format(""%d:%d"",
            TimeUnit.MILLISECONDS.toMinutes(pos),
            TimeUnit.MILLISECONDS.toSeconds(pos),
            TimeUnit.MINUTES.toSeconds(TimeUnit.MILLISECONDS.toMinutes(
                    pos))
            );
currentTime.setText(time);  // currentTime = (TextView) findViewById(R.id.current_time);


But that last line gives me the exception:


  android.view.ViewRoot$CalledFromWrongThreadException: Only the original thread that created a view hierarchy can touch its views.


Yet I'm doing basically the same thing here as I'm doing with the SeekBar - creating the view in onCreate, then touching it in run() - and it doesn't give me this complaint.
"
349,bash,"I have ""I love Suzi and Marry"" and I want to change ""Suzi"" to ""Sara"".

#!/bin/bash
firstString=""I love Suzi and Marry""
secondString=""Sara""
# do something...


The result must be like this:

firstString=""I love Sara and Marry""

"
350,bash,"In a shell script, how do I echo all shell commands called and expand any variable names?

For example, given the following line:

ls $DIRNAME


I would like the script to run the command and display the following

ls /full/path/to/some/dir


The purpose is to save a log of all shell commands called and their arguments. Is there perhaps a better way of generating such a log?
"
351,javascript,"Since the upgrade to iOS 6, we are seeing Safari's web view take the liberty of caching $.ajax calls. This is in the context of a PhoneGap application so it is using the Safari WebView. Our $.ajax calls are POST methods and we have cache set to false {cache:false}, but still this is happening. We tried manually adding a TimeStamp to the headers but it did not help.
We did more research and found that Safari is only returning cached results for web services that have a function signature that is static and does not change from call to call.  For instance, imagine a function called something like:
getNewRecordID(intRecordType)

This function receives the same input parameters over and over again, but the data it returns should be different every time.
Must be in Apple's haste to make iOS 6 zip along impressively they got too happy with the cache settings.  Has anyone else seen this behavior on iOS 6? If so, what exactly is causing it?

The workaround that we found was to modify the function signature to be something like this:
getNewRecordID(intRecordType, strTimestamp)

and then always pass in a TimeStamp parameter as well, and just discard that value on the server side.  This works around the issue.
"
352,angularjs,"I've read the AngularJS documentation on the topic carefully, and then fiddled around with a directive. Here's the fiddle.

And here are some relevant snippets:


From the HTML:

&lt;pane bi-title=""title"" title=""{{title}}""&gt;{{text}}&lt;/pane&gt;

From the pane directive:

scope: { biTitle: '=', title: '@', bar: '=' },



There are several things I don't get:


Why do I have to use ""{{title}}"" with '@' and ""title"" with '='?
Can I also access the parent scope directly, without decorating my element with an attribute?
The documentation says ""Often it's desirable to pass data from the isolated scope via expression and to the parent scope"", but that seems to work fine with bidirectional binding too. Why would the expression route be better?


I found another fiddle that shows the expression solution too: http://jsfiddle.net/maxisam/QrCXh/
"
353,c#,"I'm trying to perform a LINQ query on a DataTable object and bizarrely I am finding that performing such queries on DataTables is not straightforward. For example:

var results = from myRow in myDataTable
where results.Field(""RowNo"") == 1
select results;


This is not allowed. How do I get something like this working?

I'm amazed that LINQ queries are not allowed on DataTables!
"
354,javascript,"I have a shopping cart that displays product options in a dropdown menu and if they select ""yes"", I want to make some other fields on the page visible. 

The problem is that the shopping cart also includes the price modifier in the text, which can be different for each product. The following code works:

$(document).ready(function() {
    $('select[id=""Engraving""]').change(function() {
        var str = $('select[id=""Engraving""] option:selected').text();
        if (str == ""Yes (+ $6.95)"") {
            $('.engraving').show();
        } else {
            $('.engraving').hide();
        }
    });
});


However I would rather use something like this, which doesn't work:

$(document).ready(function() {
    $('select[id=""Engraving""]').change(function() {
        var str = $('select[id=""Engraving""] option:selected').text();
        if (str *= ""Yes"") {
            $('.engraving').show();
        } else {
            $('.engraving').hide();
        }
    });
});


I only want to perform the action if the selected option contains the word ""Yes"", and would ignore the price modifier.
"
355,python,"Apparently, the following is the valid syntax:

my_string = b'The string'


I would like to know:


What does this b character in front of the string mean?
What are the effects of using it?
What are appropriate situations to use it?


I found a related question right here on SO, but that question is about PHP though, and it states the b is used to indicate the string is binary, as opposed to Unicode, which was needed for code to be compatible from version of PHP &lt; 6, when migrating to PHP 6. I don't think this applies to Python.

I did find this documentation on the Python site about using a u character in the same syntax to specify a string as Unicode. Unfortunately, it doesn't mention the b character anywhere in that document.

Also, just out of curiosity, are there more symbols than the b and u that do other things?
"
356,android,"I have the following TextView defined:
&lt;TextView 
    android:layout_width=&quot;wrap_content&quot;
    android:layout_height=&quot;wrap_content&quot; android:text=&quot;@string/txtCredits&quot;
    android:autoLink=&quot;web&quot; android:id=&quot;@+id/infoTxtCredits&quot;
    android:layout_centerInParent=&quot;true&quot;
    android:linksClickable=&quot;true&quot;&gt;&lt;/TextView&gt;

where @string/txtCredits is a string resource that contains &lt;a href=&quot;some site&quot;&gt;Link text&lt;/a&gt;.
Android is highlighting the links in the TextView, but they do not respond to clicks. What am I doing wrong?  Do I have to set an onClickListener for the TextView in my activity for something as simple as this?
It looks like it has to do with the way I define my string resource.
This does not work:
&lt;string name=&quot;txtCredits&quot;&gt;&lt;a href=&quot;http://www.google.com&quot;&gt;Google&lt;/a&gt;&lt;/string&gt;

But this does:
&lt;string name=&quot;txtCredits&quot;&gt;www.google.com&lt;/string&gt;

Which is a bummer because I would much rather show a text link than show the full URL.
"
357,sql,"How do I parameterize a query containing an IN clause with a variable number of arguments, like this one?

SELECT * FROM Tags 
WHERE Name IN ('ruby','rails','scruffy','rubyonrails')
ORDER BY Count DESC


In this query, the number of arguments could be anywhere from 1 to 5.

I would prefer not to use a dedicated stored procedure for this (or XML), but if there is some elegant way specific to SQL Server 2008, I am open to that.
"
358,json,"I'm trying to parse JSON returned from a curl request, like so:

curl 'http://twitter.com/users/username.json' |
    sed -e 's/[{}]/''/g' | 
    awk -v k=""text"" '{n=split($0,a,"",""); for (i=1; i&lt;=n; i++) print a[i]}'


The above splits the JSON into fields, for example:

% ...
""geo_enabled"":false
""friends_count"":245
""profile_text_color"":""000000""
""status"":""in_reply_to_screen_name"":null
""source"":""web""
""truncated"":false
""text"":""My status""
""favorited"":false
% ...


How do I print a specific field (denoted by the -v k=text)?
"
359,javascript,"I'm looking for a function which return boolean value if user has mobile browser or not.

I know that I can use navigator.userAgent and write that function by using regex, but user-agents are too various for different platforms. I doubt that match all possible devices would be easy, and I think this problem has been solved before many times so there should be some kind of complete solution for such task.

I was looking at this site, but sadly the script is so cryptic that I have no idea how to use it for my purpose, which is to create a function which return true / false.
"
360,c#,"How can I do GroupBy multiple columns in LINQ
Something similar to this in SQL:
SELECT * FROM &lt;TableName&gt; GROUP BY &lt;Column1&gt;,&lt;Column2&gt;

How can I convert this to LINQ:
QuantityBreakdown
(
    MaterialID int,
    ProductID int,
    Quantity float
)

INSERT INTO @QuantityBreakdown (MaterialID, ProductID, Quantity)
SELECT MaterialID, ProductID, SUM(Quantity)
FROM @Transactions
GROUP BY MaterialID, ProductID

"
361,compression,"The compression algorithm used in zlib is essentially the same as that in gzip and zip. What are gzip and zip? How are they different and how are they same?
"
362,floating-point,"I've always been told never to represent money with double or float types, and this time I pose the question to you: why? 

I'm sure there is a very good reason, I simply do not know what it is.
"
363,visual-studio,"This morning I faced a problem while opening my Visual Studio solution, and when I tried to run it, it said:


  No exports were found that match the constraint contract name


How can I fix this problem?
"
364,javascript,"I have noticed that some browsers (in particular, Firefox and Opera) are very zealous in using cached copies of .css and .js files, even between browser sessions. This leads to a problem when you update one of these files, but the user's browser keeps on using the cached copy.
What is the most elegant way of forcing the user's browser to reload the file when it has changed?
Ideally, the solution would not force the browser to reload the file on every visit to the page.

I have found John Millikin's and da5id's suggestion to be useful. It turns out there is a term for this: auto-versioning.
I have posted a new answer below which is a combination of my original solution and John's suggestion.
Another idea that was suggested by SCdF would be to append a bogus query string to the file. (Some Python code, to automatically use the timestamp as a bogus query string, was submitted by pi..)
However, there is some discussion as to whether or not the browser would cache a file with a query string. (Remember, we want the browser to cache the file and use it on future visits. We only want it to fetch the file again when it has changed.)
"
